2019-01-18 20:09:44,356 - mainClass.java	-INFO -info
2019-01-18 20:09:44,366 - mainClass.java	-WARN -Warn
2019-01-18 20:09:44,366 - mainClass.java	-ERROR -Error
2019-01-18 20:09:44,366 - mainClass.java	-FATAL -Fatal
2019-01-19 09:26:36,731 - mainClass	-INFO -Testing log
2019-01-19 09:26:36,751 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 09:26:48,127 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 09:28:47,304 - mainClass	-INFO -Testing log
2019-01-19 09:28:47,315 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 09:28:54,239 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 09:29:45,473 - mainClass	-INFO -Testing log
2019-01-19 09:29:45,519 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 09:29:55,299 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 09:37:06,375 - mainClass	-INFO -Testing log
2019-01-19 09:37:06,388 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 09:37:13,116 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 09:55:03,614 - mainClass	-INFO -Testing log
2019-01-19 09:55:03,650 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 09:55:19,535 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 09:55:57,695 - mainClass	-INFO -[[io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}] -> id: com.thecarousell.Carousell:id/home_page_title_label]
2019-01-19 09:59:12,974 - mainClass	-INFO -Testing log
2019-01-19 09:59:12,998 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 09:59:32,040 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 10:04:17,236 - mainClass	-INFO -Testing log
2019-01-19 10:04:17,270 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 10:04:38,689 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 10:14:41,725 - mainClass	-INFO -Testing log
2019-01-19 10:14:41,752 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 10:14:57,837 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
2019-01-19 10:29:31,915 - mainClass	-INFO -Testing log
2019-01-19 10:29:31,937 - mainClass	-INFO -check101Test_user Testcase started
2019-01-19 10:29:40,587 - AppiumOne	-INFO -io.appium.java_client.android.AndroidDriver, Capabilities: {appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, databaseEnabled=false, desired={platformName=android, skipUnlock=true, appActivity=com.thecarousell.Carousell.activities.EntryActivity, appPackage=com.thecarousell.Carousell, deviceName=Nexus6API}, deviceManufacturer=Google, deviceModel=Android SDK built for x86, deviceName=emulator-5554, deviceScreenSize=1080x1920, deviceUDID=emulator-5554, javascriptEnabled=true, locationContextEnabled=false, networkConnectionEnabled=true, platform=LINUX, platformName=Android, platformVersion=7.1.1, skipUnlock=true, takesScreenshot=true, warnings={}, webStorageEnabled=false}
